cohort_month,total_bookings_in_cohort,cohort_base_cancel_rate,unanswered_opening_bookings,pct_unanswered_opening,unanswered_opening_cancelled,unanswered_opening_cancel_rate
2024-07-01 00:00:00,1877,0.1412,0,0.0,0,
2024-08-01 00:00:00,5502,0.1465,11,0.002,1,0.0909
2024-09-01 00:00:00,5343,0.1482,8,0.0015,3,0.375
2024-10-01 00:00:00,5577,0.1512,2,0.0004,0,0.0
2024-11-01 00:00:00,5312,0.1542,11,0.0021,4,0.3636
2024-12-01 00:00:00,5456,0.1516,10,0.0018,3,0.3
2025-01-01 00:00:00,5558,0.1409,11,0.002,4,0.3636
2025-02-01 00:00:00,5012,0.1488,6,0.0012,0,0.0
2025-03-01 00:00:00,5606,0.1452,8,0.0014,1,0.125
2025-04-01 00:00:00,5431,0.1418,6,0.0011,1,0.1667
2025-05-01 00:00:00,5146,0.1477,10,0.0019,3,0.3
2025-06-01 00:00:00,2439,0.1554,2,0.0008,0,0.0
2025-07-01 00:00:00,246,0.1016,1,0.0041,0,0.0
