booking_id,conversation_id,conversation_channel,total_price,status,conversation_started_at
32989,24678,email,3505.59,cancelled,2024-09-20 14:23:28
107944,22248,sms,3171.29,cancelled,2024-08-26 23:45:31
186469,43869,in_app,3079.2,completed,2025-04-04 21:58:18
122284,25040,whatsapp,2976.59,completed,2024-11-25 16:50:18
188733,77936,sms,2511.6,cancelled,2025-03-05 23:57:59
61956,78233,sms,2361.99,cancelled,2025-05-10 18:58:31
9423,107528,sms,2267.88,cancelled,2024-09-05 09:12:40
211944,48980,in_app,2198.95,cancelled,2024-12-10 14:57:09
233440,30922,sms,2076.97,confirmed,2024-11-22 09:41:36
36735,109792,in_app,2042.95,completed,2024-08-23 03:55:34
76942,91476,whatsapp,2034.49,confirmed,2024-09-24 07:45:41
205636,32420,sms,2026.54,confirmed,2024-08-20 00:13:37
45132,105948,whatsapp,2001.67,completed,2024-12-13 21:59:53
216684,59913,in_app,1954.74,cancelled,2024-11-15 10:42:18
152088,57960,in_app,1900.78,completed,2024-12-06 03:36:59
17816,74404,in_app,1883.96,confirmed,2025-03-19 18:20:40
166536,85021,in_app,1858.11,confirmed,2025-02-06 06:40:43
91077,102952,in_app,1833.88,cancelled,2025-04-23 15:43:15
151384,110719,in_app,1816.99,completed,2024-08-24 03:28:01
63609,74441,in_app,1802.4,confirmed,2025-04-13 14:56:27
165507,82656,whatsapp,1687.65,completed,2024-12-11 23:25:17
119909,39627,whatsapp,1661.91,confirmed,2025-01-13 00:54:07
215297,20118,in_app,1647.58,cancelled,2024-09-28 19:40:34
85179,84167,email,1601.69,confirmed,2024-08-08 09:52:45
70771,60626,in_app,1556.33,confirmed,2024-08-12 19:42:49
63416,85410,sms,1555.9,cancelled,2024-11-24 15:14:59
112911,91441,in_app,1553.3,completed,2024-08-14 14:42:37
131291,24083,whatsapp,1529.62,confirmed,2024-10-24 13:43:50
30461,94306,in_app,1489.86,completed,2025-02-10 15:08:16
18781,49752,in_app,1471.84,confirmed,2025-02-09 03:26:58
208050,58590,in_app,1459.26,cancelled,2025-01-21 05:15:55
229924,53857,in_app,1431.52,confirmed,2025-01-23 07:24:40
63664,489,in_app,1421.28,completed,2024-11-04 14:44:12
199910,40417,in_app,1418.01,completed,2025-03-29 13:16:31
36584,100529,in_app,1358.98,completed,2025-01-26 03:08:19
205735,73986,in_app,1345.1,cancelled,2024-12-28 22:39:59
52780,99715,whatsapp,1343.17,cancelled,2025-05-27 18:50:35
165568,29545,sms,1339.25,completed,2025-02-01 01:12:45
146788,92485,whatsapp,1323.9,confirmed,2024-09-12 08:26:35
161996,40324,in_app,1251.41,completed,2024-11-29 20:06:08
126925,24666,email,1245.73,completed,2024-12-01 09:21:38
228148,78140,in_app,1219.71,completed,2025-03-05 13:50:26
80743,67149,email,1213.2,completed,2024-12-29 03:52:31
196918,94082,in_app,1155.26,confirmed,2025-05-22 21:37:23
246350,67482,whatsapp,1146.17,confirmed,2025-05-11 19:57:56
58392,109885,whatsapp,1122.95,confirmed,2025-04-11 20:41:39
132347,98080,in_app,1060.35,completed,2025-05-28 12:29:10
81170,55262,whatsapp,1036.79,confirmed,2024-12-17 23:02:08
93858,68618,in_app,1011.97,completed,2024-08-21 09:35:23
212715,86817,in_app,979.76,completed,2025-02-15 04:12:50
162129,103115,sms,969.69,confirmed,2024-09-15 07:19:11
202958,68843,whatsapp,968.35,confirmed,2024-09-10 02:44:09
143173,2937,in_app,890.61,completed,2025-03-20 08:33:23
238139,87144,in_app,853.61,completed,2025-05-12 12:03:30
124401,9875,email,848.62,confirmed,2024-11-03 20:46:03
171154,81689,in_app,750.01,completed,2025-03-02 14:05:52
187445,86952,in_app,705.3,completed,2025-07-02 21:22:36
105763,59707,email,703.18,confirmed,2025-03-20 16:19:40
170493,96655,email,680.66,confirmed,2025-05-07 18:22:16
128296,51758,in_app,628.61,completed,2025-01-13 01:35:10
96716,31165,sms,622.81,completed,2024-09-11 22:23:31
81457,99059,in_app,619.11,confirmed,2025-04-24 16:41:29
37776,1858,whatsapp,617.93,cancelled,2025-01-25 08:35:27
57794,43321,email,603.93,confirmed,2025-05-21 22:37:43
158643,36199,in_app,565.78,completed,2025-01-29 18:30:31
164857,105488,in_app,552.47,cancelled,2024-12-25 00:49:02
47302,44499,email,548.56,cancelled,2025-01-25 02:49:14
203518,44118,in_app,545.58,completed,2024-08-25 12:00:20
102712,98003,in_app,527.81,completed,2025-04-17 19:56:03
115999,68438,in_app,515.86,completed,2024-08-01 06:14:40
170966,8830,in_app,504.18,confirmed,2025-02-17 20:43:24
130555,50332,email,442.92,completed,2024-10-02 22:38:02
229969,9403,in_app,438.38,completed,2025-03-02 20:17:35
18925,69061,in_app,434.04,cancelled,2024-11-16 19:51:41
41193,56189,in_app,424.96,cancelled,2024-11-29 11:43:54
42965,29112,whatsapp,398.91,completed,2024-12-16 00:36:56
165087,67006,email,314.84,cancelled,2024-12-21 23:30:10
214894,25944,in_app,278.86,confirmed,2024-11-12 12:13:21
52346,52051,email,274.35,completed,2025-01-21 10:02:48
31526,43678,email,263.21,confirmed,2025-05-22 00:27:41
111867,4770,in_app,254.72,cancelled,2025-05-13 07:09:28
118162,100487,in_app,197.93,confirmed,2025-01-22 20:51:51
235023,74430,in_app,144.44,completed,2024-11-26 06:36:39
100503,72064,whatsapp,127.43,confirmed,2025-06-08 19:15:22
128512,99852,in_app,104.31,confirmed,2025-06-23 02:27:03
201231,4897,in_app,87.11,completed,2024-08-02 09:23:46
